id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_s,miss_distance_au,orbiting_body
54317879,(2022 UF4),24.54,0.0328514828,0.0734581487,False,2025-01-02,11.5515942115,0.3825609964,Earth
54327895,(2022 WF2),26.33,0.0144063837,0.0322136532,False,2025-01-02,9.5944349644,0.3324180322,Earth
54433331,(2024 GE2),27.97,0.0067694748,0.0151370059,False,2025-01-02,4.8695813606,0.1712815577,Earth
54505721,(2024 XP10),24.57,0.0324007435,0.0724502651,False,2025-01-02,8.4207397855,0.0505944232,Earth
54507534,(2024 XB20),26.0,0.0167708462,0.0375007522,False,2025-01-02,2.839333716,0.091298535,Earth
54509097,(2024 YR3),25.45,0.0216050351,0.0483103272,False,2025-01-02,3.6956346823,0.0631894818,Earth
54511078,(2024 YF7),25.76,0.0187307418,0.0418832119,False,2025-01-02,13.5690330333,0.0129568283,Earth
54511096,(2024 YR8),24.6,0.0319561887,0.0714562102,False,2025-01-02,16.2042977054,0.0540774538,Earth
54512607,(2024 YR9),25.74,0.0189040552,0.0422707525,False,2025-01-02,20.7411443242,0.0223837894,Earth
54512608,(2024 YS9),27.82,0.0072536229,0.016219594,False,2025-01-02,21.2159080739,0.0105779295,Earth
54513049,(2025 AC),29.02,0.0041740243,0.0093334022,False,2025-01-02,4.2789783774,0.0009373221,Earth
54514672,(2025 AO1),27.94,0.0068636476,0.0153475826,False,2025-01-02,8.1109076864,0.0035274111,Earth
54514894,(2025 AA2),26.09,0.0160899605,0.0359782453,False,2025-01-02,13.522628461,0.0083278512,Earth
54514901,(2025 AE2),24.68,0.0308003021,0.0688715693,False,2025-01-02,9.8631484964,0.0487449254,Earth
3561029,(2011 GE3),25.88,0.0177237239,0.0396314515,False,2025-01-01,8.3173566881,0.3320111274,Earth
54169408,(2021 NT5),27.12,0.010012787,0.0223892723,False,2025-01-01,8.1996036081,0.4701595249,Earth
54216342,(2021 VR3),18.01,0.6645917971,1.4860724357,False,2025-01-01,9.7030438006,0.2809489436,Earth
54256791,(2022 EQ6),26.21,0.0152249185,0.0340439527,False,2025-01-01,24.3814294261,0.471684782,Earth
54508753,(2024 YV1),26.22,0.0151549664,0.033887535,False,2025-01-01,5.7987642551,0.0952602048,Earth
54508761,(2024 YD2),24.87,0.0282198679,0.063101543,False,2025-01-01,8.7690673962,0.0611466058,Earth
54509628,(2024 YY4),26.44,0.0136947774,0.0306224531,False,2025-01-01,4.0085267342,0.011204063,Earth
54511954,(2024 YY8),28.73,0.004770402,0.0106669431,False,2025-01-01,4.7580939652,0.0086258496,Earth
54511956,(2024 YZ8),23.68,0.0488151892,0.1091540813,False,2025-01-01,21.4762910009,0.0725309008,Earth
54511964,(2024 YJ9),27.91,0.0069591304,0.0155610887,False,2025-01-01,14.1845754203,0.0084552349,Earth
54513028,(2024 YV10),26.18,0.0154367182,0.0345175513,False,2025-01-01,5.8480710628,0.0568220725,Earth
54514249,(2025 AG1),29.49,0.0033616692,0.0075169209,False,2025-01-01,2.645140072,0.0044854773,Earth
54516067,(2025 AC4),24.57,0.0324007435,0.0724502651,False,2025-01-01,15.9737833452,0.0429341231,Earth
2000887,887 Alinda (A918 AA),13.81,4.5978518828,10.2811093604,False,2025-01-08,8.2486989067,0.0821977284,Earth
2451003,451003 (2008 UD1),19.49,0.3361669212,0.7516920875,False,2025-01-08,14.1497502351,0.1791506831,Earth
3485264,(2010 AL30),27.2,0.0096506147,0.0215794305,False,2025-01-08,13.5818178365,0.1306268363,Earth
3692560,(2014 TU),25.09,0.0255008688,0.0570216761,False,2025-01-08,7.0312838109,0.3046948634,Earth
3837605,(2019 AE3),27.4,0.0088014652,0.0196806745,False,2025-01-08,9.0801480023,0.2718702407,Earth
3893856,(2019 XL),26.6,0.0127219879,0.0284472297,False,2025-01-08,16.8547879585,0.311088503,Earth
54051133,(2020 PP5),19.12,0.3986162293,0.8913329856,False,2025-01-08,35.2242519185,0.4936605716,Earth
54104252,(2021 AL),24.7,0.0305179233,0.0682401509,False,2025-01-08,15.5618664057,0.2437527467,Earth
54104549,(2021 AN1),26.86,0.011286388,0.0252371308,False,2025-01-08,9.2473780111,0.1238698111,Earth
54104723,(2021 AF2),25.3,0.0231502122,0.0517654482,False,2025-01-08,8.6110621832,0.1577375945,Earth
54225011,(2021 VH35),23.34,0.057089334,0.1276556316,False,2025-01-08,3.3035745717,0.4195909266,Earth
54305021,(2022 SK2),26.5,0.0133215567,0.0297879063,False,2025-01-08,21.2500806992,0.1020123063,Earth
54329646,(2022 WD7),22.43,0.0868070458,0.1941064553,False,2025-01-08,13.101129605,0.3952838416,Earth
54419694,(2024 AP2),24.63,0.0315177333,0.0704757942,False,2025-01-08,14.2152333927,0.3027920751,Earth
54421395,(2024 BM1),26.03,0.0165407416,0.0369862226,False,2025-01-08,9.1139227197,0.0302826753,Earth
54512616,(2024 YA10),26.1,0.0160160338,0.0358129403,False,2025-01-08,11.9510765125,0.0226719938,Earth
54513653,(2025 AD),23.86,0.04493192,0.1004708274,False,2025-01-08,12.4978664864,0.1419738766,Earth
54514035,(2025 AT),25.72,0.0190789723,0.0426618789,False,2025-01-08,8.4146669385,0.079257245,Earth
54515742,(2025 AO3),25.81,0.018304378,0.0409298336,False,2025-01-08,6.4164095885,0.1174404518,Earth
3370495,(2007 EA26),20.86,0.1788771952,0.3999815682,False,2025-01-15,11.0685256598,0.1411991464,Earth
3739391,(2016 AH65),25.8,0.0183888672,0.0411187571,False,2025-01-15,13.6672436046,0.2427452598,Earth
3767164,(2017 BO30),23.9,0.04411182,0.0986370281,False,2025-01-15,13.1846896317,0.2392217129,Earth
54143420,(2021 JE1),26.68,0.0122618211,0.0274182656,False,2025-01-15,6.1755427458,0.2296359359,Earth
54159405,(2021 LH6),22.79,0.0735453089,0.1644523102,False,2025-01-15,27.6270254009,0.0782629042,Earth
54168304,(2021 NM4),24.9,0.0278326768,0.0622357573,False,2025-01-15,11.7706513681,0.3864708945,Earth
54330917,(2022 WX10),28.15,0.0062309602,0.0139328506,False,2025-01-15,13.4338227841,0.2815474138,Earth
54375585,(2023 OS),24.4,0.0350392641,0.0783501764,False,2025-01-15,10.8724443124,0.0423483145,Earth
54416958,(2023 XO14),29.16,0.0039134066,0.0087506433,False,2025-01-15,15.2635564231,0.4880705755,Earth
54509168,(2024 YJ4),23.5,0.0530340723,0.1185877909,False,2025-01-15,8.7966845005,0.0724391419,Earth
54510164,(2024 YG6),24.34,0.0360209346,0.0805452583,False,2025-01-15,7.237356434,0.0882516866,Earth
54510171,(2024 YX6),25.03,0.0262153087,0.0586192124,False,2025-01-15,6.6120555309,0.1059403468,Earth
54513661,(2025 AH),24.27,0.037201031,0.0831840342,False,2025-01-15,19.6309269825,0.0793715082,Earth
54516179,(2025 BE),23.89,0.0443154309,0.099092316,False,2025-01-15,19.0456307086,0.0334964162,Earth
54516189,(2025 BP),27.43,0.0086807046,0.0194106455,False,2025-01-15,17.624070422,0.0028751946,Earth
54516190,(2025 BQ),26.23,0.0150853356,0.0337318359,False,2025-01-15,11.6874249252,0.030016168,Earth
54517240,(2025 BE3),21.01,0.1669379118,0.3732845187,False,2025-01-15,24.9914295124,0.1188880996,Earth
2506491,506491 (2003 UW29),20.69,0.193443872,0.4325536477,True,2025-01-14,26.9373528737,0.1161214726,Earth
3309857,(2005 YU128),25.26,0.0235806068,0.0527278398,False,2025-01-14,7.0328161372,0.0489000138,Earth
3459429,(2009 JR),21.41,0.138852907,0.310484539,True,2025-01-14,9.7933235468,0.1365447244,Earth
3690386,(2014 SD145),26.9,0.0110803882,0.0247765013,False,2025-01-14,6.6877944213,0.4249027289,Earth
3724104,(2015 NS13),19.98,0.2682594171,0.5998462923,False,2025-01-14,11.5485581652,0.0803237921,Earth
3843826,(2019 RP2),28.9,0.004411182,0.0098637028,False,2025-01-14,3.355938886,0.2042475913,Earth
3892657,(2019 VJ2),26.1,0.0160160338,0.0358129403,False,2025-01-14,24.7105750439,0.4815985157,Earth
54145465,(2021 JO6),24.75,0.0298232505,0.0666868155,False,2025-01-14,19.0565424016,0.4274195358,Earth
54281973,(2022 LT),25.21,0.0241298697,0.0539560289,False,2025-01-14,7.0513345,0.4473785635,Earth
54289714,(2022 NK),27.27,0.0093444765,0.0208948847,False,2025-01-14,22.9136403845,0.4659005546,Earth
54510154,(2024 YX5),25.75,0.0188171989,0.042076536,False,2025-01-14,10.6254505459,0.0298308481,Earth
54510159,(2024 YD6),24.62,0.0316632126,0.0708010957,False,2025-01-14,7.8893429873,0.1007598541,Earth
54511085,(2024 YO7),25.11,0.0252670754,0.0564988982,False,2025-01-14,6.6190536067,0.0941742505,Earth
54514034,(2025 AS),24.4,0.0350392641,0.0783501764,False,2025-01-14,9.24001285,0.0412966184,Earth
54516459,(2025 BA1),27.59,0.0080640828,0.0180318372,False,2025-01-14,13.4611357539,0.0018380693,Earth
54517681,(2025 BL6),22.56,0.0817626533,0.1828268509,False,2025-01-14,19.9776295852,0.0965693544,Earth
54517722,(2025 BU6),24.68,0.0308003021,0.0688715693,False,2025-01-14,8.6695399384,0.030099207,Earth
2803401,803401 (2015 NS13),19.98,0.2682594171,0.5998462923,False,2025-01-14,11.5485581636,0.0803237936,Earth
3102771,(2002 AL31),24.5,0.0334622374,0.0748238376,False,2025-01-13,11.5990472098,0.1443315378,Earth
3360486,(2006 WE4),18.9,0.4411182,0.9863702813,False,2025-01-13,17.6015523752,0.2790631015,Earth
3645650,(2013 PZ38),24.0,0.0421264611,0.0941976306,False,2025-01-13,7.1157932928,0.3580764855,Earth
3792468,(2017 YH),18.12,0.6317641482,1.4126675811,False,2025-01-13,12.0498524043,0.2239192831,Earth
3797753,(2018 BV1),24.3,0.0366906138,0.0820427065,False,2025-01-13,19.8822867801,0.4926540561,Earth
3986841,(2020 BK3),26.9,0.0110803882,0.0247765013,False,2025-01-13,8.176692998,0.0893006069,Earth
54100624,(2020 YH),21.98,0.1067959975,0.2388031102,False,2025-01-13,26.606267717,0.4998638617,Earth
54104721,(2021 AC2),27.89,0.0070235225,0.0157050737,False,2025-01-13,18.9277637098,0.3890405992,Earth
54110077,(2021 CR1),25.1,0.0253837029,0.0567596853,False,2025-01-13,11.4323563883,0.2959708215,Earth
54239836,(2022 BB1),25.11,0.0252670754,0.0564988982,False,2025-01-13,26.4371401615,0.3422009837,Earth
54256783,(2022 EE6),24.53,0.0330031183,0.0737972161,False,2025-01-13,8.7048229381,0.0397591332,Earth
54341644,(2023 CS3),26.94,0.0108781483,0.0243242791,False,2025-01-13,6.2823788524,0.0680408346,Earth
54356994,(2023 HU5),27.58,0.0081013049,0.0181150684,False,2025-01-13,7.4663124731,0.2466533515,Earth
54514246,(2025 AE1),22.22,0.0956213733,0.2138158908,False,2025-01-13,21.0410257838,0.1516808171,Earth
54515077,(2025 AX2),26.88,0.0111829138,0.0250057554,False,2025-01-13,10.39131851,0.0210654743,Earth
