des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname,Potentially Hazardous,Estimated Diameter (km)
2025 FQ5,3,2460753.676217170,2025-Mar-19 04:14,0.00511387654952292,0.005102482746699,0.00512526820770753,4.86266207223515,4.75430582729483,< 00:01,26.88,       (2025 FQ5),No,1.494379712849715
2025 FQ4,16,2460754.025793867,2025-Mar-19 12:37,0.0182711901143135,0.018268810961941,0.0182735692662633,14.4767485978068,14.4666717276094,< 00:01,22.74,       (2025 FQ4),No,10.056826623727206
2025 FO2,5,2460754.161508503,2025-Mar-19 15:53,0.00876686220809132,0.0087348238451052,0.00879889970266135,12.7831840769464,12.7593864544739,< 00:01,27.93,       (2025 FO2),No,0.9214270618263312
2025 EQ2,9,2460754.298358978,2025-Mar-19 19:10,0.0134247502136168,0.0134110657394832,0.0134384343940123,6.17689885887895,6.14468300313224,< 00:01,26.77,       (2025 EQ2),No,1.5720304829327965
2025 FC1,1,2460754.476719376,2025-Mar-19 23:26,0.00427965160296906,0.0042668629950975,0.00429214947489349,18.7567123765558,18.7234898994404,< 00:01,27.68,       (2025 FC1),No,1.0338581676623795
2025 FM10,1,2460754.609224030,2025-Mar-20 02:37,0.0120886966154529,0.0120300268375092,0.012147365391911,15.7364499823755,15.7224373568531,00:11,25.98,       (2025 FM10),No,2.261835223818555
2025 FU9,1,2460754.791269099,2025-Mar-20 06:59,0.00414225633742039,0.0041064844581011,0.00417801612169211,8.1588520701711,8.07962747680216,< 00:01,26.81,       (2025 FU9),No,1.5433376929839857
2025 FR7,1,2460755.120809790,2025-Mar-20 14:54,0.0451112741110462,0.0444494122300178,0.0457731508169,17.2901995356373,17.286783124201,< 00:01,25.09,       (2025 FR7),No,3.407696930755106
2025 FF,5,2460755.158942131,2025-Mar-20 15:49,0.0263759766915041,0.0263101415917834,0.026441810102363,6.28659085689629,6.27050127638118,< 00:01,26.6,       (2025 FF),No,1.7000471367188192
2025 FL,4,2460755.322248039,2025-Mar-20 19:44,0.00308952709395695,0.003088368499296,0.00309068566938035,8.97079533357196,8.8741378648056,< 00:01,26.24,       (2025 FL),No,2.00660071704986
2025 FS2,2,2460755.339280632,2025-Mar-20 20:09,0.00274937828520792,0.002743473883333,0.00275528240022763,13.0578992627336,12.9834699447708,< 00:01,28.08,       (2025 FS2),No,0.8599257683201597
2025 FG,4,2460755.364523574,2025-Mar-20 20:45,0.0185843770024219,0.0184787348065523,0.018690007840955,5.497326906258,5.471184433934,< 00:01,27.35,       (2025 FG),No,1.203541203694411
2025 FE,4,2460755.584501377,2025-Mar-21 02:02,0.0202079350306748,0.0201523226639624,0.020263547040406,15.0158129867546,15.0070294664763,< 00:01,24.72,       (2025 FE),No,4.040740523714562
2025 FJ,3,2460755.774475043,2025-Mar-21 06:35,0.00624344499707602,0.006234682386717,0.00625220743082068,10.9697768999025,10.9308040264325,< 00:01,27.92,       (2025 FJ),No,0.925680175900559
2025 FN7,1,2460755.997887615,2025-Mar-21 11:57,0.000547909797566705,0.000547080048425,0.000548739266946527,8.07252158892358,7.44577912190742,< 00:01,30.73,       (2025 FN7),No,0.253782086171463
2025 FA2,5,2460756.046931967,2025-Mar-21 13:08,0.0143439474794759,0.0142944673053474,0.0143934263407883,9.81086931222681,9.79191727703188,< 00:01,26.95,       (2025 FA2),No,1.4469747847984222
2021 FH1,11,2460756.062961389,2025-Mar-21 13:31,0.00995562458020619,0.0099555681134998,0.00995568104691251,13.8405515093378,13.8212009220178,< 00:01,25.3,       (2021 FH1),No,3.093577234364678
2025 FU11,3,2460756.170188600,2025-Mar-21 16:05,0.0245211214543794,0.0244341317249809,0.0246081098799851,10.1216433214285,10.1109021536871,< 00:01,25.39,       (2025 FU11),No,2.967979952292787
2025 FZ7,3,2460756.624579172,2025-Mar-22 02:59,0.00934486063746411,0.0093252271617029,0.00936449367129165,10.244038066385,10.2161666172754,< 00:01,27.28,       (2025 FZ7),No,1.2429709054192053
2025 FB2,3,2460756.786689821,2025-Mar-22 06:53,0.0208608960595921,0.0207999253145154,0.0209218662769928,13.1589675572303,13.1492575882297,< 00:01,26.54,       (2025 FB2),No,1.7476761641301932
2025 FX6,1,2460756.806236790,2025-Mar-22 07:21,0.00107998662375547,0.0010782724596714,0.00108170075751723,20.8381915373132,20.7194581115461,< 00:01,29.4,       (2025 FX6),No,0.468231862097884
2025 FZ,5,2460757.484630014,2025-Mar-22 23:38,0.00848080163933137,0.0084722835178543,0.00848931954975862,7.15493966333234,7.11089347747431,< 00:01,27.53,       (2025 FZ),No,1.107798985527818
2025 FQ12,1,2460757.804947707,2025-Mar-23 07:19,0.0032804195240717,0.0032725587833164,0.00328827991679808,11.5977886192171,11.5275420671146,< 00:01,28.89,       (2025 FQ12),No,0.5921898550392929
2025 FL18,3,2460757.840267770,2025-Mar-23 08:10,0.0445393057677463,0.0442018091264078,0.0448767927068824,7.88966087659999,7.88207476163262,< 00:01,25.26,       (2025 FL18),No,3.1510911292041337
2025 DA15,10,2460758.162885606,2025-Mar-23 15:55,0.0433350992847132,0.0432911388733649,0.0433790595129585,7.75800685756684,7.75007738309779,< 00:01,24.94,       (2025 DA15),No,3.6514130477030364
2025 FY6,1,2460758.312074423,2025-Mar-23 19:29,0.000146688306210922,0.0001456301511517,0.00014774772789822,23.4265928771164,22.6379505401577,00:05,30.91,       (2025 FY6),No,0.23359361253514974
2025 FY1,3,2460758.391156720,2025-Mar-23 21:23,0.00451275920678292,0.004505095424904,0.00452042283744854,14.3229845024823,14.2817022871536,< 00:01,26.8,       (2025 FY1),No,1.5504614161035413
2025 FC2,2,2460758.424182141,2025-Mar-23 22:11,0.00169051298492221,0.0016876739890861,0.00169335181574624,13.4186739817041,13.3006969098104,< 00:01,28.39,       (2025 FC2),No,0.7455228571156695
2025 FK14,1,2460758.749645383,2025-Mar-24 05:59,0.00225338318945197,0.0022505290928496,0.00225623711975047,8.46868351467806,8.32788870640392,< 00:01,29.66,       (2025 FK14),No,0.41539471148786683
2025 FK3,2,2460758.835722458,2025-Mar-24 08:03,0.000816412207595587,0.0008155639618287,0.000817260427354718,20.5477563323785,20.3883054956392,< 00:01,29.05,       (2025 FK3),No,0.5501244699235862
2025 FQ2,2,2460758.850665252,2025-Mar-24 08:25,0.0181881848443857,0.0181031915263369,0.0182731731917313,6.86549111935538,6.84411997104567,00:01,27.72,       (2025 FQ2),No,1.0149881294769512
2025 FS,4,2460758.913075534,2025-Mar-24 09:55,0.0078136853194099,0.0077902264376466,0.00783714369669033,13.65173793609,13.6267364192332,< 00:01,26.0,       (2025 FS),No,2.2410985938431094
2025 FZ6,1,2460759.140515748,2025-Mar-24 15:22,0.002343823048943,0.0021331333355546,0.00255441747915182,21.1576673265313,21.1038685678261,00:36,28.3,       (2025 FZ6),No,0.7770714679827573
2025 FX2,3,2460759.159012554,2025-Mar-24 15:49,0.0018316388640045,0.0018295365076853,0.00183374119742143,25.081001225695,25.0229340551061,< 00:01,27.4,       (2025 FX2),No,1.1761452612041383
